district Name,score,rank
Jalna,38.84298,13
Kolhapur,38.71043,14
Ahmednagar,36.97895,15
Thane,34.38703,16
Ratnagiri,33.87687,17
Buldhana,32.27556,18
Bhandara,30.92924,19
Amravati,30.81432,20
Solapur,30.30753,21
Pune,27.54392,22
Chandrapur,27.46568,23
Wardha,26.73867,24
