district Name,score,rank
Chhatrapati Sambhajinagar,45.83458,13
Bhandara,44.35547,14
Buldhana,43.40888,15
Thane,43.08341,16
Yavatmal,42.50246,17
Nandurbar,42.25864,18
Wardha,39.85949,19
Jalna,38.36943,20
Gondia,37.89472,21
Nanded,37.72388,22
Chandrapur,37.2206,23
Ratnagiri,36.91595,24
