Sector no,6,,,,,,,,,,,,,,,,,,,,,,,,,
Sector name,Social Development,,,,,,,,,,,,,,,,,,,,,,,,,
Districts,% Off-take of Grains v/s Allotment,Average Days of Employment Provided Per Household Under MGNREGA,"Performance in ""One Nation One Ration Card (ONOC)""",Performance of Maharashtra State Rural Livelihood Mission (MSRLM – UMED) Loan Provided SHG,NULM % of Livelihood Earning SHGs - % of 1st Bank Linkage Against SHG,NULM % of Livelihood Earning SHGs - % of 2nd Bank Linkage Against SHG,Coverage of Atal Pension Yojana,% Increase in Number of Enrolments per 1 lakh Population under - Pradhan Mantri Suraksha Bima Yojana (PMSBY) and Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY),Percentage Change of Beneficiaries under PM Kisan Scheme,Access to Housing for SC/ST(Rural),"Health Insurance: Increase in No. of Beneficiairies Against Insured (Yellow, White, Orange)",Percentage of Women in SHGs (Saturation),Percentage of Women SHG who Availed Bank Loan,Percentage of ICDS Beneficiaries of  Severely Underweight ,Percentage of ICDS Beneficiaries of  Moderately Underweight ,Percentage of Total Coverage of SC/ST/OBC Beneficiaries Received Pre-metric Scholarship Through Direct Benefit Transfer (DBT) Against Number of Students,Percentage of Total Coverage of SC/ST/OBC Beneficiaries Received Post Metric Scholarship Through DBT and Having Aadhar,Percentage Increase in Coverage of Workers Registered on e-SHRAM Portal,Percentage coverage of PM Street Vendor's Atma Nirbhar Nidhi (SVANidhi) Scheme ,Number of Beneficiaries of Schemes under National Social Assistance Program (NSAP),% of Beneficiaries Receiving Benefits under (a) Sanjay Gandhi Niradhar Anudan (b) Shravanbal Seva State Pension,Increase in Percentage of Off-take Against Allocation of Foodgrains to Fair Price Shops for Atyodaya Anna Yojana under NFSA,Percentage of Priority Sector Credit Plan to Total Credit Plan,Percentage of Women Aged 20-24 years Married Before Age 18 years,SD Score,Rank
Dharashiv,3.002,2.713,0.342,1.338,1.65,1.563,0.683,2.237,0.503,3.016,0,2.15,3.105,2.205,2.052,1.207,2.252,1.913,0,1.484,1.147,1.635,4.275,0.613,41.085,22
Palghar,2.521,5.754,2.076,5.455,1.1,0.604,,,1.43,2.78,0,3.02,4.782,1.744,0.719,1.275,0.914,0.168,0.7,1.698,2.955,1.861,2.359,2.122,46.038,8
Parbhani,2.872,3.191,0.509,2.09,1.31,1.163,0.984,1.692,0.057,1.581,0,2.352,1.155,2.214,2.304,1.211,2.445,0.623,1.073,1.571,1.461,0.938,4.834,0,37.633,31
Pune,1.846,0.798,1.441,1.78,1.122,0.713,1.232,5,1.859,3.862,0,2.459,2.512,2.46,2.302,1.828,2.015,1.931,0.219,1.314,1.333,1.279,1.561,1.29,42.156,21
Raigad,1.741,0.798,0.316,3.866,1.792,1.966,1.855,1.027,3.118,3.567,0,2.311,3.298,2.464,2.312,2.5,1.964,1.568,0.848,1.798,1.334,2.375,3.041,1.72,47.58,4
Ratnagiri,1.395,0.638,0.289,1.45,2.322,1.903,2.468,2.038,4.809,4.316,0,1.965,4.052,2.242,1.896,1.886,2.416,0.742,0.982,1.089,1.282,2.199,4.647,2.344,49.369,2
Sangli,2.528,1.596,0.313,2.169,1.394,1.298,0.147,0.354,1.074,4.587,0,2.066,3.243,2.5,2.412,2.349,2.312,5,0.822,1.144,1.51,1.683,3.671,1.129,45.301,9
Satara,1.509,0.957,0.262,1.478,1.339,0.835,0.827,0.574,0.555,4.955,0,2.214,3.319,2.418,2.424,0.226,2.5,2.342,0.905,0.959,1.33,0.038,4.387,1.608,37.961,29
Sindhudurg,2.481,0,0.43,1.059,2.5,2.5,2.971,2.148,5,3.475,0,2.37,4.677,1.893,1.635,1.043,2.468,0.38,1.713,0.796,0.942,2.38,4.801,2.312,49.973,1
Solapur,0.062,0.798,0.307,1.006,1.171,1.103,1.392,1.74,1.18,2.599,0,2.37,2.141,2.48,2.415,0.229,2.304,1.707,0.859,1.211,0.963,3.854,5,0.414,37.305,32
Thane,0.742,0.985,3.81,0.991,1.424,1.243,,0.431,2.909,1.782,0,5.217,4.518,2.442,2.087,0.25,1.858,0.138,0.635,1.072,1.81,2.761,1.349,1.73,40.183,24
Wardha,4.828,2.553,1.435,0,1.593,1.642,2.151,2.531,0.879,3.48,0,2.07,3.988,1.914,1.748,0.022,1.938,0.862,0.395,1.361,1.505,1.72,4.035,2.097,44.745,14
Washim,3.813,0.798,0.366,2.064,1.5,1.177,1.254,0.746,0.169,2.755,0,2.381,4.437,2.271,2.219,0.019,2.327,0.932,1.857,1.001,0.789,4.903,4.787,1.091,43.657,17
Yavatmal,2.836,1.436,0.421,1.222,1.484,0.986,0.92,0.733,0.489,2.984,0,3.964,3.043,2.072,1.983,0.084,1.62,0.138,1.271,1.071,1.261,1.636,4.477,1.952,38.082,28
