district Name,score,rank
Chandrapur,54.74928,25
Akola,54.56594,26
Ratnagiri,54.51098,27
Dhule,53.97413,28
Nagpur,53.35446,29
Thane,52.42239,30
Gadchiroli,51.32961,31
Sangli,49.3299,32
Sindhudurg,47.75854,33
Mumbai Suburban,46.36301,34
Nandurbar,42.07648,35
Mumbai,39.72067,36
