district Name,score,rank
Sindhudurg,52.86247,25
Mumbai Suburban,52.60909,26
Bhandara,52.30042,27
Wardha,51.44422,28
Buldhana,51.34983,29
Nandurbar,51.1829,30
Amravati,49.1821,31
Jalgaon,49.00585,32
Jalna,47.30155,33
Hingoli,45.36708,34
Beed,44.03706,35
Gadchiroli,39.67051,36
