district Name,score,rank
Nandurbar,51.67059,25
Gondia,50.7736,26
Raigad,49.53724,27
Thane,47.69791,28
Ahmednagar,47.08414,29
Palghar,46.5067,30
Chandrapur,46.1199,31
Ratnagiri,40.39268,32
Sindhudurg,40.02222,33
Gadchiroli,35.52943,34
Mumbai,11.6925,35
Mumbai Suburban,9.48026,36
