district Name,score,rank
Yavatmal,37.41628,25
Chhatrapati Sambhajinagar,37.35823,26
Gadchiroli,37.29781,27
Ratnagiri,36.80358,28
Latur,36.78077,29
Parbhani,36.13998,30
Dhule,35.59912,31
Dharashiv,34.19825,32
Raigad,33.86131,33
Nandurbar,32.88528,34
Nanded,32.58289,35
Thane,31.38294,36
