sector name,indicator Name,weightage
Citizen Centric Governance,% of Online Services Provided ,30
Citizen Centric Governance,% of Pending Cases in First Appeal,20
Citizen Centric Governance,Percentage of Administrative Offices Converted to e-Office,20
Citizen Centric Governance,Ratio of Disposal and Pending of Quasi-Judicial Cases Handled by Revenue Machinery,30
