district Name,score,rank
Raigad,57.74101,1
Palghar,53.23337,2
Pune,47.93968,3
Thane,43.22544,4
Mumbai,38.44319,5
Kolhapur,38.25033,6
Solapur,38.21613,7
Mumbai Suburban,36.72262,8
Dharashiv,36.61101,9
Bhandara,35.81712,10
Ratnagiri,35.77334,11
Satara,33.81855,12
