district Name,score,rank
Pune,69.75634,1
Nashik,68.99926,2
Gondia,64.91059,3
Mumbai,60.31096,4
Satara,60.04285,5
Solapur,59.98305,6
Nagpur,59.43421,7
Sangli,58.9314,8
Raigad,58.59588,9
Kolhapur,57.90818,10
Chandrapur,57.27943,11
Ratnagiri,57.07757,12
