district Name,score,rank
Sindhudurg,49.97311,1
Ratnagiri,49.3689,2
Amravati,49.05388,3
Raigad,47.57998,4
Gondia,47.41746,5
Beed,47.28472,6
Ahmednagar,46.22746,7
Palghar,46.03752,8
Sangli,45.30092,9
Nagpur,45.25353,10
Bhandara,45.02946,11
Chandrapur,44.78557,12
