district Name,score,rank
Gondia,79.61019,1
Nashik,68.51931,2
Nagpur,61.84967,3
Raigad,59.84529,4
Mumbai,57.22171,5
Jalgaon,56.34091,6
Washim,52.80482,7
Palghar,50.03282,8
Mumbai Suburban,49.78277,9
Akola,48.33351,10
Gadchiroli,44.01537,11
Parbhani,42.30533,12
