district Name,score,rank
Parbhani,68.91681,1
Latur,67.6463,2
Chhatrapati Sambhajinagar,66.01526,3
Washim,65.31361,4
Akola,63.94653,5
Nashik,63.22524,6
Hingoli,62.65745,7
Jalgaon,62.51502,8
Solapur,61.81961,9
Beed,61.79206,10
Jalna,61.04582,11
Sangli,59.22827,12
