district Name,score,rank
Nanded,65.61369,1
Latur,64.88064,2
Ahmednagar,64.08293,3
Buldhana,63.47658,4
Beed,63.38288,5
Yavatmal,63.33263,6
Gondia,62.73202,7
Chhatrapati Sambhajinagar,62.29355,8
Raigad,62.20651,9
Pune,62.08271,10
Palghar,62.01708,11
Wardha,60.67372,12
